report_date,section,tier,status,reason,count
"2026-09-10","POLICY","","ACTIVE","","14"
"2026-09-10","POLICY","","RENEWAL_DUE","","21"
"2026-09-10","POLICY","","RENEWED","","0"
"2026-09-10","POLICY","","LAPSED","","2"
"2026-09-10","NOTIFICATION","FIFTEEN_DAY","FAILED","FAILED","1"
"2026-09-10","NOTIFICATION","FIFTEEN_DAY","SENT","SENT","2"
"2026-09-10","NOTIFICATION","OVERDUE","FAILED","FAILED","366"
"2026-09-10","NOTIFICATION","OVERDUE","GATEWAY_TIMEOUT","GATEWAY_TIMEOUT","414"
"2026-09-10","NOTIFICATION","OVERDUE","SENT","SENT","382"
"2026-09-10","NOTIFICATION","SEVEN_DAY","FAILED","FAILED","2"
"2026-09-10","NOTIFICATION","SEVEN_DAY","GATEWAY_TIMEOUT","GATEWAY_TIMEOUT","4"
"2026-09-10","NOTIFICATION","SEVEN_DAY","SENT","SENT","1"
"2026-09-10","NOTIFICATION","THIRTY_DAY","FAILED","FAILED","2"
"2026-09-10","NOTIFICATION","THIRTY_DAY","GATEWAY_TIMEOUT","GATEWAY_TIMEOUT","2"
"2026-09-10","NOTIFICATION","THIRTY_DAY","SENT","SENT","4"
"2026-09-10","NOTIFICATION","OVERDUE","DEAD_LETTERED","FAILED","48"
"2026-09-10","NOTIFICATION","OVERDUE","DEAD_LETTERED","GATEWAY_TIMEOUT","47"
"2026-09-10","NOTIFICATION","SEVEN_DAY","DEAD_LETTERED","FAILED","1"
